event_day,event_hour,topics,city,country
2017-03-20,09:30,CrossFit,Sydney,au
2017-03-20,09:30,Fitness Boot Camp,Sydney,au
2017-03-25,12:00,Fun Times,Seoul,kr
2017-03-25,12:00,Women's Social,Seoul,kr
2017-03-25,12:00,New In Town,Seoul,kr
2017-03-25,12:00,Culture Exchange,Seoul,kr
2017-03-25,12:00,Pub Crawls,Seoul,kr
2017-03-25,12:00,Pubs and Bars,Seoul,kr
2017-03-25,12:00,Nightlife,Seoul,kr
2017-03-25,12:00,Singles,Seoul,kr
2017-03-25,12:00,Dating and Relationships,Seoul,kr
2017-03-25,12:00,Social Networking,Seoul,kr
2017-03-25,12:00,Social,Seoul,kr
2017-03-25,12:00,Dancing,Seoul,kr
2017-03-25,12:00,International and Exchange Students,Seoul,kr
2017-03-25,12:00,English as a Second Language,Seoul,kr
2017-03-25,12:00,Language & Culture,Seoul,kr
2017-03-23,00:00,Live Music,Arlington,us
2017-03-23,00:00,Singles,Arlington,us
2017-03-23,00:00,Booze,Arlington,us
2017-03-23,00:00,New In Town,Arlington,us
2017-03-23,00:00,Craft Beer,Arlington,us
2017-03-23,00:00,Nightlife,Arlington,us
2017-03-23,00:00,Board Games,Arlington,us
2017-03-23,00:00,Fun Times,Arlington,us
2017-03-23,00:00,Happy Hour,Arlington,us
2017-03-23,00:00,20's & 30's Social,Arlington,us
2017-03-23,00:00,Brunch,Arlington,us
2017-03-23,00:00,Pubs and Bars,Arlington,us
2017-03-23,00:00,Field Trips,Arlington,us
2017-03-23,00:00,Sports and Recreation,Arlington,us
2017-03-23,00:00,30's 40's Social,Arlington,us
2017-03-25,12:00,Fun Times,Daegu,kr
2017-03-25,12:00,Social Networking,Daegu,kr
2017-03-25,12:00,Spanish Language,Daegu,kr
2017-03-25,12:00,Language Exchange,Daegu,kr
2017-03-25,12:00,International and Exchange Students,Daegu,kr
2017-03-25,12:00,Language & Culture,Daegu,kr
2017-03-25,12:00,International Friends,Daegu,kr
2017-03-25,12:00,Culture Exchange,Daegu,kr
2017-03-25,12:00,Korean Language,Daegu,kr
2017-03-25,12:00,French Language,Daegu,kr
2017-03-25,12:00,New In Town,Daegu,kr
2017-03-25,12:00,Coffee,Daegu,kr
2017-03-25,12:00,English Language,Daegu,kr
2017-03-23,16:00,Coffee,Miami,us
2017-03-23,16:00,New In Town,Miami,us
2017-03-23,16:00,Women's Social,Miami,us
2017-03-23,16:00,Breakfast,Miami,us
2017-03-23,16:00,Girlfriends,Miami,us
2017-03-23,16:00,Girls having fun,Miami,us
2017-03-23,16:00,"Ladies, Women",Miami,us
2017-03-23,16:00,Brunch,Miami,us
2017-03-23,16:00,Ladies,Miami,us
2017-03-23,16:00,Ladies / Fun Chics!,Miami,us
2017-03-23,16:00,"Women's Camaraderie, Ladies Social Events",Miami,us
2017-03-23,16:00,Women Support and Social Networking,Miami,us
2017-04-22,13:30,English as a Second Language,Pusan,kr
2017-04-22,13:30,Language & Culture,Pusan,kr
2017-04-22,13:30,Social,Pusan,kr
2017-04-22,13:30,Nightlife,Pusan,kr
2017-04-22,13:30,Social Networking,Pusan,kr
2017-04-22,13:30,Culture Exchange,Pusan,kr
2017-04-22,13:30,Fun Times,Pusan,kr
2017-04-22,13:30,International and Exchange Students,Pusan,kr
2017-04-22,13:30,English Language,Pusan,kr
2017-04-22,13:30,Spanish Language,Pusan,kr
2017-04-22,13:30,French Language,Pusan,kr
2017-04-22,13:30,Pusan,Pusan,kr
2017-04-22,13:30,Busan,Pusan,kr
2017-04-22,13:30,Korean Language,Pusan,kr
2017-03-28,14:00,Professional Networking,London,gb
2017-03-28,14:00,Business Strategies and Networking,London,gb
2017-03-28,14:00,Business Referral Networking,London,gb
2017-03-28,14:00,Marketing,London,gb
2017-03-28,14:00,Small Business Marketing Strategy,London,gb
2017-03-28,14:00,Startup Businesses,London,gb
2017-03-28,14:00,Entrepreneurship,London,gb
2017-03-28,14:00,Web Technology,London,gb
2017-03-28,14:00,Mobile Technology,London,gb
2017-03-28,14:00,Internet Professionals,London,gb
2017-03-28,14:00,Technology Startups,London,gb
2017-03-28,14:00,Small Business,London,gb
2017-03-28,14:00,Fundraising,London,gb
2017-03-28,14:00,Seed Funding,London,gb
2017-05-11,18:15,Business Intelligence,Riga,lv
2017-05-11,18:15,Microsoft Technology,Riga,lv
2017-05-11,18:15,Microsoft,Riga,lv
2017-05-11,18:15,Microsoft Excel,Riga,lv
2017-05-11,18:15,Business Intelligence Best Practices,Riga,lv
2017-05-11,18:15,Data Analytics,Riga,lv
2017-05-11,18:15,Data Visualization,Riga,lv
2017-05-11,18:15,Predictive Analytics,Riga,lv
2017-05-11,18:15,Data Mining,Riga,lv
2017-05-11,18:15,Excel,Riga,lv
2017-05-11,18:15,Power BI,Riga,lv
2017-04-22,13:30,English as a Second Language,Pusan,kr
2017-04-22,13:30,Language & Culture,Pusan,kr
2017-04-22,13:30,Social,Pusan,kr
2017-04-22,13:30,Nightlife,Pusan,kr
2017-04-22,13:30,Social Networking,Pusan,kr
2017-04-22,13:30,Culture Exchange,Pusan,kr
2017-04-22,13:30,Fun Times,Pusan,kr
2017-04-22,13:30,International and Exchange Students,Pusan,kr
2017-04-22,13:30,English Language,Pusan,kr
2017-04-22,13:30,Spanish Language,Pusan,kr
2017-04-22,13:30,French Language,Pusan,kr
2017-04-22,13:30,Pusan,Pusan,kr
2017-04-22,13:30,Busan,Pusan,kr
2017-04-22,13:30,Korean Language,Pusan,kr
2017-03-25,00:00,Settlers of Catan,Dover,us
